Dedicated Server,5,-1
Steam Client,7,-1
winui2,8,-1
Counter-Strike,10,1953
Team Fortress Classic,20,9634
Day of Defeat,30,2282
Deathmatch Classic,40,2373
Half-Life: Opposing Force,50,4256
Ricochet,60,7799
Half-Life,70,4247
Counter-Strike: Condition Zero,80,1955
Half-Life Dedicated Server,90,-1
Codename Gordon,92,1783
Counter-Strike: Condition Zero Deleted Scenes,100,1956
Half-Life: Blue Shift,130,4254
Counter-Strike Steamworks Beta,150,-1
Source Dedicated Server,205,-1
Source Dedicated Server,210,-1
Source SDK,211,-1
Source SDK Base 2006,215,-1
Source SDK Base 2007,218,-1
Half-Life 2: Demo,219,-1
Half-Life 2,220,4248
Counter-Strike: Source,240,1958
Counter-Strike: Source Beta,260,-1
Half-Life: Source,280,4257
Day of Defeat: Source,300,2284
Day of Defeat: Source Press Review,304,-1
Source 2007 Dedicated Server,310,-1
Half-Life 2: Deathmatch,320,4249
Half-Life 2: Lost Coast,340,4252
Half-Life Deathmatch: Source,360,4253
HL1:MP Linux client,364,-1
Half-Life 2: Episode One,380,4250
Portal,400,7230
Portal: First Slice,410,-1
Half-Life 2: Episode Two,420,4251
Team Fortress 2,440,9632
Team Fortress 2 - Summer 2012 Community Bundle DLC,456,-1
Team Fortress 2 - Summer 2012 Sale Bundle DLC,457,-1
Team Fortress 2 - Summer 2011 DLC,458,-1
Team Fortress 2 - Premium DLC,459,-1
Spacewar,480,8884
Left 4 Dead,500,5209
Left 4 Dead Dedicated Server,510,-1
Left 4 Dead Authoring Tools,513,-1
Team Fortress 2 Beta,520,-1
Left 4 Dead Demo,530,-1
Left 4 Dead Demo Dedicated Server,540,-1
Left 4 Dead 2,550,5212
Left 4 Dead 2 Dedicated Server,560,-1
Left 4 Dead 2 Authoring Tools,563,-1
Left 4 Dead 2 Add-on Support,564,-1
Left 4 Dead 2 Preorder DLC,565,-1
Dota 2,570,2721
Dota 2 - English Depot,575,-1
Dota 2 - SteelSeries DLC ,576,-1
Dota 2 - Murrissey the Smeevil,581,-1
Dota 2 - Lockjaw the Boxhound,582,-1
Dota 2 - Drodo the Druffin,583,-1
Dota 2 - Inflatable Donkey Courier,584,-1
Dota 2 - Plush Donkey Courier,585,-1
Dota 2 - International Axe,586,-1
Left 4 Dead 2 Demo,590,-1
Portal 2,620,7231
Portal 2 Authoring Tools - Beta,629,-1
Alien Swarm,630,368
Alien Swarm Dedicated Server,635,-1
Alien Swarm - SDK,640,-1
Portal 2 Publishing Tool,644,-1
Portal 2 - Gamestop PS3 DLC,650,-1
Portal 2 - Bot Paint Job DLC,651,-1
Portal 2 - Bot Roll Cage DLC,652,-1
Portal 2 - Bot Antenna Topper DLC,653,-1
Portal 2 - Summer 2011 DLC,654,-1
Portal 2 - Pre-order,659,-1
Portal 2 Sixense MotionPack,660,-1
Portal 2 - Sixense Motion Preorder,669,-1
Counter-Strike: Global Offensive,730,1957
Counter-Strike Global Offensive - Dedicated Server,740,-1
Counter-Strike Global Offensive - Valve Dedicated Server,741,-1
Counter-Strike Global Offensive - Pinion Dedicated Server,742,-1
Counter-Strike: Global Offensive - SDK,745,-1
Steam,753,557
Steam Economy,754,-1
Steam Achievements,755,-1
Steam Big Picture,756,-1
Steam Screenshots,760,-1
Steam Cloud - Videos,761,-1
Steam Cloud - User Logs,764,-1
Greenlight,765,-1
Steam Artwork,767,-1
ValveTestApp852,852,-1
ValveTestApp854,854,-1
Zombie Movie,900,-1
Day of Defeat: Prelude to Victory,901,-1
Dangerous Waters Trailer,902,-1
Darwinia Trailer,903,-1
Half-Life 2 Trailer,904,-1
Half-Life 2: Episode One Trailer,905,-1
Rag Doll Kung Fu Trailer,906,-1
Red Orchestra Trailer,907,-1
Shadowgrounds Trailer,908,-1
Sin Episodes: Emergence Trailer,909,-1
Half-Life 2: Episode One Launch Teaser 1,912,-1
Half-Life 2: Episode One Launch Teaser 2,913,-1
Half-Life 2: Episode One Launch Teaser 3,914,-1
Half-Life 2: Episode One Launch Teaser 4,915,-1
Half-Life 2: Episode Two Trailer,916,-1
Day of Defeat: Jagd Trailer,917,-1
Day of Defeat: Colmar Trailer,918,-1
Dark Messiah: Warrior,919,-1
Dark Messiah: Assassin,920,-1
Dark Messiah: Wizard,921,-1
Portal Trailer,922,-1
Team Fortress 2 Trailer,923,-1
Red Orchestra Infantry Tutorial,924,-1
Red Orchestra Vehicle Tutorial,925,-1
Red Orchestra Lyes Krovy Trailer,926,-1
GTI Racing Trailer,927,-1
SourceForts Trailer,928,-1
Uplink Trailer,929,-1
Half-Life 2: Episode Two Trailer 2,930,-1
Team Fortress 2 Trailer 2,931,-1
Half-Life 2: Episode Two Gameplay Movie 1,932,-1
Half-Life 2: Episode Two Gameplay Movie 2,933,-1
Half-Life 2: Episode Two Gameplay Movie 3,934,-1
Dark Messiah Gameplay Trailer,935,-1
Half-Life 2: Episode Two Gameplay Movie 4,936,-1
Half-Life 2: Episode Two Gameplay Movie 5,937,-1
City Life Trailer,938,-1
X3: Reunion Trailer,939,-1
Dark Messiah Launch Trailer,940,-1
Red Orchestra Fall Update Trailer,941,-1
Heroes of Annihilated Empires Trailer,942,-1
Prey Trailer,943,-1
Left4Dead Teaser,944,-1
X3: Reunion 2.0 Trailer,945,-1
Gumboy: Crazy Adventures Trailer,946,-1
Eets Trailer,947,-1
Silverfall Trailer,948,-1
Joint Task Force Trailer,949,-1
Hitman: Blood Money Trailer,950,-1
Just Cause Trailer,951,-1
TrackMania United Trailer,953,-1
Runaway, The Dream of The Turtle Trailer,954,-1
Battlestations: Midway Trailer,955,-1
Project: Snowblind Trailer,956,-1
Tomb Raider: Legend Trailer,957,-1
Infernal Trailer,958,-1
Infernal Trailer 1,959,-1
Team Fortress 2: Meet the Heavy,960,-1
Red Orchestra June 07 New Content Trailer,961,-1
